reflux,condenser,evaporator,boilup,steps
1.0,940.746478939035,2223.6711431196663,2.594193462044962,13.0
2.0,1940.151584400555,3333.4368113776777,3.883620699757361,9.0
3.0,3009.1116390429197,4549.484370697067,5.304018086796546,8.0
4.0,3770.2162187241165,5541.726186909764,6.454754228046688,8.0
5.0,4946.171337568689,7159.098305720746,8.348590254602035,8.0
